t_now,velocity_fed,velocity_com
0.002397298812866211,-79.5999999999998,80.0
0.10379338264465332,210.89999999999975,33.03
0.20705294609069824,-96.3,-16.5
0.30847883224487305,723.2,80.0
0.40979766845703125,-1315.2999999999997,80.0
0.5131826400756836,816.3999999999999,80.0
0.6145145893096924,1567.9999999999998,80.0
0.7180280685424805,879.7999999999998,80.0
0.8195645809173584,1283.3,80.0
0.9209432601928711,240.0,80.0
1.024409294128418,-595.4,80.0
1.1257703304290771,723.2,80.0
1.2269656658172607,-643.5,80.0
1.3302288055419922,-1715.8999999999999,80.0
1.4315121173858643,129.39999999999998,80.0
1.5348968505859375,-673.6999999999997,80.0
1.6361980438232422,1246.4,80.0
1.7377369403839111,-1145.5000000000002,80.0
1.8413798809051514,25.200000000000102,80.0
1.9428071975708008,-326.20000000000005,80.0
2.044283628463745,-1011.2,61.17
2.147620677947998,-1431.6,80.0
2.2487967014312744,356.40000000000015,80.0
2.3499598503112793,1165.6999999999998,80.0
2.4536046981811523,-298.69999999999993,-21.87
2.555163621902466,723.2,80.0
2.656611442565918,428.79999999999995,80.0
2.7602837085723877,811.7999999999998,80.0
2.8613791465759277,129.39999999999998,80.0
2.9646098613739014,484.20000000000016,80.0
3.065948247909546,1576.4999999999998,80.0
3.167264699935913,-1252.3999999999994,80.0
3.2708804607391357,-341.50000000000034,80.0
3.3723654747009277,-374.1999999999999,80.0
3.4737186431884766,694.3999999999996,80.0
3.5772640705108643,350.8000000000004,80.0
3.678663492202759,1742.2999999999997,80.0
3.7798871994018555,226.89999999999998,80.0
3.8834826946258545,363.59999999999985,80.0
3.984955072402954,129.39999999999998,80.0
4.086376190185547,-1490.1999999999998,80.0
4.189691781997681,-1546.7,80.0
4.291128396987915,-864.0,80.0
4.394860744476318,-322.3999999999998,80.0
4.49635910987854,-255.5000000000001,80.0
4.597776174545288,1409.5999999999997,80.0
4.701373100280762,-1599.8999999999996,80.0
4.802858352661133,-1097.4999999999995,80.0
4.904379844665527,-115.20000000000039,80.0
5.007830381393433,-179.5999999999998,80.0
5.109278917312622,1745.3,80.0
5.210694313049316,95.09999999999991,80.0
5.314142942428589,-1472.1999999999998,-31.48
5.4156153202056885,723.2,80.0
5.516921043395996,1462.6,80.0
5.620377540588379,-1766.3,80.0
5.721765995025635,1372.7999999999997,80.0
5.8253607749938965,-414.4,80.0
5.926708936691284,1355.2,80.0
6.028087615966797,-198.89999999999986,80.0
6.131234407424927,268.0000000000001,80.0
6.232201099395752,-1400.4,80.0
6.333176374435425,467.8,80.0
6.436398983001709,94.19999999999987,80.0
6.537694931030273,129.39999999999998,80.0
6.6412353515625,342.8,80.0
6.742656469345093,-647.5,80.0
6.8440892696380615,746.9000000000002,80.0
6.947489976882935,-116.20000000000005,80.0
7.0486390590667725,969.8000000000002,80.0
7.149879455566406,983.1999999999994,80.0
7.2534825801849365,-1140.1000000000001,80.0
7.354665040969849,1725.1000000000001,80.0
7.4558844566345215,-732.9999999999999,80.0
7.559491157531738,1180.8999999999999,80.0
7.6609787940979,-12.800000000000011,80.0
7.762484788894653,1437.6000000000001,80.0
7.865614175796509,1305.1,80.0
7.966797828674316,713.9000000000001,80.0
8.07040548324585,-1735.3,80.0
8.171823501586914,710.6,80.0
8.273354530334473,-736.0000000000002,80.0
8.376889944076538,-1094.5999999999997,80.0
8.478359937667847,-1759.8000000000002,80.0
8.579766511917114,1626.3,80.0
8.683213710784912,1339.9,80.0
8.784677267074585,723.2,80.0
8.886173009872437,1527.6,80.0
8.98984146118164,-1053.7,80.0
9.091378211975098,595.1999999999998,80.0
9.194952487945557,-790.1999999999998,80.0
9.296296834945679,1222.1,80.0
9.397700309753418,374.4,80.0
9.50126600265503,1001.3999999999999,80.0
9.602735042572021,723.2,80.0
9.70416784286499,-326.80000000000007,80.0
9.807706356048584,1567.4,80.0
9.90918779373169,129.39999999999998,80.0
10.010616302490234,-1714.6999999999998,80.0
10.11424207687378,-208.3,80.0
10.215717554092407,-1513.3,80.0
10.319063901901245,859.9000000000001,80.0
10.42055892944336,1485.0,80.0
10.521904706954956,1529.5999999999997,80.0
10.6253821849823,700.4000000000002,80.0
10.726761817932129,1732.2999999999997,80.0
10.828088998794556,367.3000000000002,80.0
10.931595802307129,232.3999999999998,80.0
11.033002138137817,129.39999999999998,80.0
11.134326457977295,-1288.9999999999998,80.0
11.237623929977417,92.39999999999995,80.0
11.339038848876953,1603.5000000000002,80.0
11.442632675170898,1013.4999999999999,80.0
11.54399561882019,380.99999999999966,80.0
11.645450830459595,265.6,80.0
11.749176740646362,1577.3999999999996,80.0
11.850502014160156,518.6000000000001,80.0
11.951765060424805,-586.3,80.0
12.055145978927612,1530.1,80.0
12.15654706954956,723.2,80.0
12.257821798324585,752.0999999999999,80.0
12.361348390579224,488.49999999999994,80.0
12.462667465209961,129.39999999999998,80.0
12.563966274261475,1003.8999999999999,80.0
12.667581558227539,1521.1000000000001,80.0
12.76897668838501,-780.5000000000001,80.0
12.872393131256104,-384.8999999999995,80.0
12.973791360855103,710.5999999999995,80.0
13.075158596038818,1577.6,80.0
13.178707122802734,1090.8,80.0
13.280128002166748,1749.0,80.0
13.38149380683899,1089.7999999999997,80.0
13.484920263290405,-518.2999999999998,80.0
