time,angle
39.89,92.73
40.0,227.45
40.1,250.94
40.21,219.19
40.29,208.69
40.4,0.0
40.49,230.88
40.59,173.19
40.7,208.69
40.8,238.92
40.9,248.73
41.0,325.01
41.1,272.69
41.2,272.68
41.29,219.19
41.41,272.68
41.5,167.67
41.59,225.58
41.69,167.67
41.8,204.68
41.89,211.54
42.0,125.82
42.11,92.61
42.21,219.17
42.3,227.43
42.39,238.88
42.49,272.59
42.59,219.18
42.7,181.77
42.8,144.95
42.91,296.22
43.02,272.58
43.12,227.43
43.21,233.85
43.3,181.77
43.41,161.14
43.5,219.17
43.6,202.59
43.7,0.0
43.8,272.54
43.9,219.17
44.0,181.76
44.1,272.52
44.2,272.52
44.3,272.52
44.4,230.83
44.51,272.52
44.6,219.18
44.71,272.52
44.81,272.52
44.91,272.51
45.02,272.52
45.2,260.08
45.23,300.18
45.31,264.99
45.4,195.99
45.5,230.86
45.6,296.12
45.71,144.86
45.81,324.86
45.91,296.12
46.0,219.21
46.11,47.8
46.2,272.7
46.31,38.32
46.41,357.89
46.51,161.14
46.61,341.29
46.71,160.85
46.81,49.68
46.92,0.0
47.01,93.02
47.12,0.0
47.21,273.02
47.31,93.03
47.41,273.04
47.51,1.78
47.61,145.35
47.71,1.78
47.81,240.49
47.91,343.7
48.01,0.0
48.11,0.0
48.2,1.78
48.32,181.78
48.41,182.71
48.51,2.71
48.61,302.66
48.7,27.26
48.81,0.0
48.91,109.5
49.01,290.16
49.11,273.48
49.21,267.97
49.31,242.26
49.41,256.27
49.51,308.77
49.61,257.27
49.71,233.33
49.81,268.78
49.91,273.89
50.0,283.53
50.1,265.43
50.21,264.39
50.31,270.44
50.41,318.59
50.51,86.34
50.61,243.0
50.71,269.69
50.81,270.25
50.91,270.64
51.02,269.92
51.11,269.64
51.21,271.54
51.31,270.05
51.41,270.03
51.51,269.98
51.61,269.99
51.71,270.02
51.81,270.02
51.91,269.97
52.01,90.02
52.11,180.0
52.21,89.99
52.32,90.0
52.43,90.0
52.52,90.0
52.61,90.0
52.71,270.0
52.82,270.0
52.92,270.0
53.03,90.0
53.11,90.0
53.21,270.0
53.31,270.0
53.41,270.0
53.51,270.0
53.61,270.0
53.71,0.0
53.8,270.0
53.91,270.0
54.01,90.0
54.11,90.0
54.21,90.0
54.31,90.0
54.4,90.0
54.5,90.0
54.61,90.0
54.71,90.0
54.81,90.0
54.9,90.0
55.0,90.0
55.11,90.0
55.23,90.0
55.29,90.0
55.39,0.0
55.49,270.0
55.59,90.0
55.7,90.0
55.8,90.0
55.91,270.0
56.0,270.0
56.09,270.0
56.19,180.0
56.29,90.0
56.39,90.0
56.49,180.0
56.6,270.0
56.7,90.0
56.8,90.0
56.89,90.0
56.99,90.0
57.1,270.0
57.2,270.0
57.31,90.0
57.39,90.0
57.49,90.0
57.6,90.0
