time_s,target_deg,feedback_deg,controller_output
0.0021066665649414062,0,0.0,0.0
1.2586805820465088,45,0.0,202612.5
2.515681028366089,90,44.99,22770.025
3.772071123123169,180,89.99,225455.05
5.231591701507568,270,179.46,48066.4
8.919313192367554,359,270.55,36762.525
12.605841159820557,180,359.71,-1162046.75
15.07677936553955,0,178.86,-86028.9
