time_s,commanded_deg_s,angle_deg,feedback_deg_s
2.000380754470825,80,339.21,
5.003354549407959,80,21.13,
8.006216764450073,80,14.09,
11.009256839752197,80,139.85,
14.012278318405151,60,290.25,
17.015320301055908,30,90.57000000000001,
20.018582344055176,0,25.61,
23.02104425430298,-30,200.01,
26.024512767791748,-60,104.33,
29.027670860290527,-90,81.61,
32.030967712402344,-60,215.69,
35.034337282180786,-30,157.77,
38.03801703453064,0,216.33,
