time,angle
39.9,92.73
40.0,227.45
40.1,250.94
40.2,219.19
40.3,208.69
40.4,0.0
40.5,230.88
40.6,173.19
40.7,208.69
40.8,238.92
40.9,248.73
41.0,325.01
41.1,272.69
41.2,272.68
41.3,219.19
41.4,272.68
41.5,167.67
41.6,225.58
41.7,167.67
41.8,204.68
41.9,211.54
42.0,125.82
42.1,92.61
42.2,219.17
42.3,227.43
42.4,238.88
42.5,272.59
42.6,219.18
42.7,181.77
42.8,144.95
42.9,296.22
43.0,272.58
43.1,227.43
43.2,233.85
43.3,181.77
43.4,161.14
43.5,219.17
43.6,202.59
43.7,0.0
43.8,272.54
43.9,219.17
44.0,181.76
44.1,272.52
44.2,272.52
44.3,272.52
44.4,230.83
44.5,272.52
44.6,219.18
44.7,272.52
44.8,272.52
44.9,272.51
45.0,272.52
45.2,260.08
45.2,300.18
45.3,264.99
45.4,195.99
45.5,230.86
45.6,296.12
45.7,144.86
45.8,324.86
45.9,296.12
46.0,219.21
46.1,47.8
46.2,272.7
46.3,38.32
46.4,357.89
46.5,161.14
46.6,341.29
46.7,160.85
46.8,49.68
46.9,0.0
47.0,93.02
47.1,0.0
47.2,273.02
47.3,93.03
47.4,273.04
47.5,1.78
47.6,145.35
47.7,1.78
47.8,240.49
47.9,343.7
48.0,0.0
48.1,0.0
48.2,1.78
48.3,181.78
48.4,182.71
48.5,2.71
48.6,302.66
48.7,27.26
48.8,0.0
48.9,109.5
49.0,290.16
49.1,273.48
49.2,267.97
49.3,242.26
49.4,256.27
49.5,308.77
49.6,257.27
49.7,233.33
49.8,268.78
49.9,273.89
50.0,283.53
50.1,265.43
50.2,264.39
50.3,270.44
50.4,318.59
50.5,86.34
50.6,243.0
50.7,269.69
50.8,270.25
50.9,270.64
51.0,269.92
51.1,269.64
51.2,271.54
51.3,270.05
51.4,270.03
51.5,269.98
51.6,269.99
51.7,270.02
51.8,270.02
51.9,269.97
52.0,90.02
52.1,180.0
52.2,89.99
52.3,90.0
52.4,90.0
52.5,90.0
52.6,90.0
52.7,270.0
52.8,270.0
52.9,270.0
53.0,90.0
53.1,90.0
53.2,270.0
53.3,270.0
53.4,270.0
53.5,270.0
53.6,270.0
53.7,0.0
53.8,270.0
53.9,270.0
54.0,90.0
54.1,90.0
54.2,90.0
54.3,90.0
54.4,90.0
54.5,90.0
54.6,90.0
54.7,90.0
54.8,90.0
54.9,90.0
55.0,90.0
55.1,90.0
55.2,90.0
55.3,90.0
55.4,0.0
55.5,270.0
55.6,90.0
55.7,90.0
55.8,90.0
55.9,270.0
56.0,270.0
56.1,270.0
56.2,180.0
56.3,90.0
56.4,90.0
56.5,180.0
56.6,270.0
56.7,90.0
56.8,90.0
56.9,90.0
57.0,90.0
57.1,270.0
57.2,270.0
57.3,90.0
57.4,90.0
57.5,90.0
57.6,90.0
57.7,270.0
57.8,270.0
57.9,90.0
58.0,270.0
58.1,270.0
58.2,270.0
58.3,270.0
58.4,270.0
58.5,90.0
58.6,90.0
58.7,270.0
58.8,270.0
58.9,90.0
59.0,90.0
59.1,90.0
59.2,90.0
59.3,90.0
59.4,90.0
59.5,90.0
59.6,90.0
59.7,90.0
59.8,90.0
59.9,90.0
60.0,90.0
