time_s,commanded_deg,feedback_deg,error_abs_deg,control_command
4.76837158203125e-07,59.84,59.910000000000004,0.07000000000000028,80000
1.2085494995117188,59.84,59.84,0.0,30
2.4182169437408447,94.08,94.10000000000001,0.020000000000010232,17130
3.6271936893463135,69.86,69.83,0.030000000000001137,12125
4.836246967315674,69.86,69.86,0.0,20
6.045642614364624,81.52,81.52,0.0,5835
7.255117654800415,79.08,79.08,0.0,1225
8.46443510055542,181.77,181.77,0.0,51340
9.673539876937866,108.79,108.76,0.030000000000001137,36495
10.883000373840332,121.54,121.55,0.009999999999990905,6395
12.092296600341797,145.63,145.65,0.020000000000010232,12050
13.301596641540527,234.65,234.65,0.0,44505
14.511373043060303,69.84,69.89,0.04999999999999716,80000
15.720580816268921,0.0,359.97,359.97,34940
16.929741621017456,39.59,39.61,0.01999999999999602,19815
18.137789011001587,325.63,325.62,0.009999999999990905,36995
19.346649169921875,341.44,341.45,0.009999999999990905,7915
20.55538034439087,18.72,18.75,0.030000000000001137,18640
21.764034509658813,28.89,28.88,0.010000000000001563,5070
22.973137378692627,1.77,1.75,0.020000000000000018,13560
24.183002948760986,274.11,274.11,0.0,43825
25.392532348632812,39.6,39.56,0.03999999999999915,62750
26.601433038711548,341.44,341.41,0.029999999999972715,29065
27.810158252716064,325.64,325.61,0.029999999999972715,7880
29.019580841064453,325.64,325.65000000000003,0.010000000000047748,20
30.22881007194519,306.97,306.97,0.0,9345
31.437556266784668,306.97,306.97,0.0,15
32.646257162094116,219.6,219.6,0.0,43690
33.85539388656616,0.0,359.96,359.96,70205
35.06433868408203,274.12,274.12,0.0,42925
36.274186849594116,94.12,94.18,0.060000000000002274,80000
37.4836266040802,274.12,274.08,0.040000000000020464,80000
38.69288086891174,341.44,341.46,0.01999999999998181,33675
39.90275001525879,341.44,341.44,0.0,15
41.11227536201477,1.77,1.78,0.010000000000000009,10170
42.322174072265625,16.0,16.01,0.010000000000001563,7115
43.53240418434143,94.14,94.16,0.01999999999999602,39070
44.742048025131226,145.65,145.66,0.009999999999990905,25740
45.951616525650024,145.65,145.63,0.020000000000010232,10
47.16135597229004,161.44,161.45000000000002,0.010000000000019327,7910
48.3706419467926,117.61,117.57000000000001,0.03999999999999204,21925
49.580740451812744,145.65,145.68,0.030000000000001137,14045
50.79045557975769,134.61,134.6,0.010000000000019327,5540
52.00036382675171,134.61,134.61,0.0,10
53.20974922180176,117.6,117.59,0.009999999999990905,8510
54.41850543022156,161.45,161.48,0.030000000000001137,21935
55.62846255302429,123.18,123.14,0.04000000000000625,19155
56.837419271469116,94.1,94.06,0.03999999999999204,14525
58.04745030403137,131.76,131.78,0.020000000000010232,18855
59.25656604766846,171.21,171.24,0.030000000000001137,19720
60.4668390750885,126.97,126.93,0.03999999999999204,22140
61.67546033859253,108.81,108.79,0.01999999999999602,9055
62.88518714904785,84.6,84.57000000000001,0.029999999999986926,12100
64.09450364112854,73.01,73.0,0.010000000000005116,5775
65.30343294143677,94.09,94.11,0.01999999999999602,10550
66.51264476776123,134.63,134.66,0.030000000000001137,20265
67.72144722938538,0.0,0.03,0.03,67335
68.93155026435852,59.76,59.78,0.020000000000003126,29875
70.14117527008057,325.68,325.67,0.009999999999990905,47055
71.35042881965637,69.81,69.78,0.030000000000001137,52075
72.5590500831604,94.09,94.11,0.01999999999999602,12145
73.76771593093872,117.62,117.63,0.009999999999990905,11760
74.97599816322327,165.25,165.27,0.020000000000010232,23815
76.18565678596497,112.24,112.2,0.03999999999999204,26525
77.394278049469,79.03,79.0,0.030000000000001137,16580
78.60382771492004,79.03,79.03,0.0,20
79.81341671943665,106.47,106.49000000000001,0.020000000000010232,13725
81.02259278297424,106.47,106.46000000000001,0.009999999999990905,15
82.23185968399048,181.78,181.79,0.009999999999990905,37665
83.44208598136902,59.72,59.74,0.020000000000003126,61045
84.65159964561462,59.72,59.7,0.01999999999999602,5
85.86029028892517,94.08,94.10000000000001,0.020000000000010232,17195
87.07055044174194,94.07,94.07000000000001,1.4210854715202004e-14,20
88.2804868221283,117.63,117.64,0.010000000000005116,11785
89.48955082893372,94.07,94.04,0.029999999999986926,11790
90.69849491119385,0.0,0.0,0.0,47025
91.90728783607483,307.03,307.0,0.029999999999972715,26470
93.11655020713806,195.95,195.94,0.009999999999990905,55530
94.32563424110413,181.78,181.78,0.0,7075
95.5345811843872,127.03,126.98,0.04999999999999716,27380
96.7447862625122,1.78,1.76,0.020000000000000018,62615
97.95424056053162,173.3,173.27,0.030000000000001137,80000
99.16351890563965,155.67,155.65,0.01999999999998181,8810
100.3735888004303,137.9,137.88,0.020000000000010232,8880
101.58372735977173,94.04,94.01,0.030000000000001137,21925
102.7928032875061,127.02,127.04,0.020000000000010232,16510
104.00145053863525,181.78,181.8,0.020000000000010232,27375
105.21172523498535,103.42,103.4,0.01999999999999602,39195
106.42131543159485,121.59,121.61,0.01999999999999602,9100
107.63109087944031,123.21,123.2,0.009999999999990905,795
108.84006547927856,161.52,161.54,0.01999999999998181,19165
110.04984784126282,192.47,192.49,0.020000000000010232,15470
111.25823521614075,117.59,117.56,0.030000000000001137,37455
112.46758985519409,145.73,145.76,0.030000000000001137,14090
113.67768096923828,63.7,63.690000000000005,0.00999999999999801,41035
114.8878288269043,59.62,59.63,0.010000000000005116,2030
116.0964286327362,94.0,94.03,0.030000000000001137,17190
117.30516695976257,124.09,124.11,0.01999999999999602,15035
118.51472544670105,114.58,114.57000000000001,0.009999999999990905,4770
119.72330975532532,161.54,161.56,0.020000000000010232,23490
