time_s,commanded_rpm,angle_deg,feedback_rpm
2.000457525253296,80,4.82,
4.203050136566162,80,61.14,38.22833333333334
6.206076622009277,80,60.5,2778.1583333333338
8.209794282913208,80,303.06,59.273333333333326
10.213633298873901,60,344.34000000000003,
12.415522813796997,30,101.78,12.123333333333333
14.418579578399658,0,64.66,1395.8650000000002
16.421756744384766,-30,194.9,12.078333333333333
18.425154209136963,-60,316.18,
20.627475261688232,-90,341.78000000000003,
22.829984664916992,-60,304.66,
25.03249716758728,-30,340.82,
27.234833002090454,0,96.02,
