time_s,commanded_deg,feedback_deg,error_abs_deg
1.7539939880371094,0,0.0,0.0
6.618407249450684,45,40.89,4.109999999999999
12.092464685440063,90,87.33,2.6700000000000017
22.631909608840942,180,176.72,3.280000000000001
33.17118191719055,270,266.11,3.8899999999999864
47.96681451797485,35,31.64,3.3599999999999994
64.99586606025696,180,176.13,3.8700000000000045
85.46643948554993,0,3.1,3.1
