time_s,commanded_deg,feedback_deg,error_abs_deg,control_command
7.152557373046875e-07,59.84,59.730000000000004,0.10999999999999943,80000
1.1188325881958008,59.84,59.84,0.0,80000
2.2383031845092773,94.08,94.10000000000001,0.020000000000010232,80000
3.357640266418457,69.86,69.82000000000001,0.03999999999999204,80000
4.476900815963745,69.86,69.85000000000001,0.009999999999990905,49362
5.595367193222046,81.52,81.54,0.020000000000010232,29935
6.714909076690674,79.08,79.10000000000001,0.020000000000010232,28636
7.833967208862305,181.77,181.72,0.05000000000001137,80000
8.953166007995605,108.79,108.8,0.009999999999990905,80000
10.073025941848755,121.54,121.56,0.01999999999999602,80000
11.193270683288574,145.63,145.65,0.020000000000010232,35856
12.313525676727295,234.65,234.6,0.05000000000001137,80000
13.433473825454712,69.84,69.98,0.14000000000000057,80000
14.553080320358276,0.0,0.02,0.02,80000
15.672203540802002,39.59,39.59,0.0,80000
16.79158639907837,325.63,325.65000000000003,0.020000000000038654,80000
17.911635160446167,341.44,341.46,0.01999999999998181,80000
19.031673669815063,18.72,18.740000000000002,0.020000000000003126,62096
20.151689291000366,28.89,28.89,0.0,48568
21.271087884902954,1.77,1.74,0.030000000000000027,80000
22.390861988067627,274.11,274.15000000000003,0.040000000000020464,80000
23.510803937911987,39.6,39.49,0.10999999999999943,80000
24.630229473114014,341.44,341.42,0.01999999999998181,80000
25.750017881393433,325.64,325.61,0.029999999999972715,76911
26.869073152542114,325.64,325.64,0.0,31896
27.987990140914917,306.97,306.94,0.03000000000002956,46566
29.107348442077637,306.97,306.97,0.0,37583
30.22575879096985,219.6,219.65,0.05000000000001137,80000
31.34476661682129,0.0,359.89,359.89,80000
32.463619232177734,274.12,274.16,0.040000000000020464,80000
33.58163905143738,94.12,93.98,0.14000000000000057,80000
34.6999626159668,274.12,274.29,0.17000000000001592,80000
35.81887888908386,341.44,341.41,0.029999999999972715,80000
36.93779754638672,341.44,341.44,0.0,80000
38.05678391456604,1.77,1.79,0.020000000000000018,51227
39.17620134353638,16.0,16.02,0.019999999999999574,4621
40.29518437385559,94.14,94.12,0.01999999999999602,80000
41.41378664970398,145.65,145.64000000000001,0.009999999999990905,26253
42.53201103210449,145.65,145.66,0.009999999999990905,80000
43.65142774581909,161.44,161.46,0.020000000000010232,40670
44.77001333236694,117.61,117.57000000000001,0.03999999999999204,80000
45.888988733291626,145.65,145.67000000000002,0.020000000000010232,80000
47.00832462310791,134.61,134.59,0.020000000000010232,80000
48.12799263000488,134.61,134.61,0.0,23296
49.247854232788086,117.6,117.57000000000001,0.029999999999986926,41543
50.367165327072144,161.45,161.46,0.010000000000019327,80000
51.48595380783081,123.18,123.14,0.04000000000000625,80000
52.60496139526367,94.1,94.15,0.05000000000001137,4864
53.72502851486206,131.76,131.78,0.020000000000010232,80000
54.84359574317932,171.21,171.23,0.01999999999998181,24644
55.962117195129395,126.97,126.93,0.03999999999999204,80000
57.08190298080444,108.81,108.77,0.04000000000000625,44217
58.20159411430359,84.6,84.57000000000001,0.029999999999986926,23328
59.32147026062012,73.01,72.99,0.020000000000010232,20238
60.44112515449524,94.09,94.11,0.01999999999999602,76774
61.560399770736694,134.63,134.65,0.020000000000010232,60206
62.6792676448822,0.0,0.1,0.1,80000
63.79807734489441,59.76,59.75,0.00999999999999801,80000
64.9176287651062,325.68,325.73,0.05000000000001137,80000
66.03570628166199,69.81,69.72,0.09000000000000341,80000
67.15362286567688,94.09,94.11,0.01999999999999602,80000
68.27235412597656,117.62,117.65,0.030000000000001137,11056
69.39078640937805,165.25,165.26,0.009999999999990905,73239
